Name,Twitter Handle,Twitter URL,Followers,Angel Score,Email,LinkedIn,Website,Location,Bio
Grace Gong,@gracegonggg,https://x.com/gracegongGG,2010,0.75,,,https://linktr.ee/gracegong115,San Francisco ,"Founder & Host @ Smart Venture pod ☕️ ex- VC 🖊 📚 #1 on Amazon Venture Capital |@Linkedin TopVoice (59k + followers, 10M+ impressions/ year)| Angel Inv"
Darrel Frater ✝️,@darrelfrater,https://x.com/DarrelFrater,26195,0.70,,,https://www.preneur.ai/darrelfrater,"Tulsa, OK",Christ Follower ✝️ | GP @ TGN Ventures (Pre-Seed FoFs) | Co-Founder @ https://t.co/rPifKrAIjV | Prev. @SeracVentures @VisibleHandsVC
unbundled vc,@unbundledvc,https://x.com/unbundledvc,649,0.63,,,http://www.unbundled.vc/,Guernsey,2x AI founder-led VC backing Europe-based software/AI founders laser-focused on winning the US market | Seed Investor in Runna (acquired by Strava)
Daniel Darling,@danieldarling,https://x.com/DanielDarling,1201,0.62,,,http://www.focal.vc,San Francisco / Hybrid,Leading pre-seed rounds @focal_vc: building a bridge for international investors to next gen US + Canadian software startups. 🎙️ Creator of 5 Year Fro
Goose 🪿,@goosexbt,https://x.com/GooseXBT,5048,0.62,,,https://t.me/goosexbt,The Pond,Angel Investor @ SXBT Capital • ai x crypto revolution
JASMINE JUGUILÓN🇵🇭,@jasminemenghuo,https://x.com/JASMINEMENGHUO,977,0.60,,,http://www.JASMINEFITNESS.COM,,JASMINE MENGHUO JUGUILÓN. MADE IN CANIPAAN. PHILANTHROPIST. ANGEL INVESTOR. FUNDAMENTAL. HUMANITARIAN. FOUNDER + CEO + CFO of: @HYATEWATER/@60DENIM/@O
"Dr Aniruddha Malpani, MD",@malpani,https://x.com/malpani,89546,0.59,,,https://www.apnipathshala.org,"Mumbai, India","Lifelong Learner. 
Angel Investor.
Funding Frugal Innovation to Improve Indian Education. 
IVF Specialist. 
Anti-Corruption Activist. 
Patient Advocat"
The Council,@thecouncilcap,https://x.com/TheCouncilCap,3072,0.59,,,http://www.thecouncil.co/,"San Francisco, CA",💰 Pre-Seed VC investing in B2B software for essential industries like healthcare & manufacturing + 😇 Angel Community for Operators
Milo Smith,@mil000,https://x.com/mil000,4691,0.58,,,,"San Francisco, CA","Angel investor, pitch me your ideas in my DMs. currently writing checks up to $2"
Lili Balfour,@lilibalfour,https://x.com/lilibalfour,3479,0.55,,,https://finance-for-entrepreneurs.thinkific.com/courses/founders_masterclass,,"CFO + Advisor

Founders' Masterclass - ICP, growth model, forecasting, pitch decks, investor lists + capital raise strategy

20 years packed into 90 m"
Ihar Mahaniok,@mahaniok,https://x.com/mahaniok,10130,0.55,,,http://geek.vc,"New York, USA","Investor and Engineer in NYC with passion for immigrant founders 🇺🇸. Seed check in @instacart, @pandadoc, @ppl_ai, @airbytehq."
Steph from OpenVC,@stephnass,https://x.com/StephNass,13807,0.55,,,http://OpenVC.app/ebook,📕 My fundraising ebook 👉,"I build tools that help 40k+ founders raise funds. 
⚡️ Find your next investor @ https://t.co/kCauH5YGtD"
PANONY,@panonygroup,https://x.com/PANONYGroup,24219,0.52,,,https://linktr.ee/PANewsLab,"Hong Kong, Shanghai, and Seoul","PANONY is an incubator, investor & advisor for #Web3 business
Cofounders @web3stellakung @tongtongbee
CEO @SunnyNgPA"
Druad,@nocapeforhero,https://x.com/NOCAPEFORHERO,1553,0.51,,,https://github.com/MaynardMiner,"Burberry, Connecticut",Angel Investor | Memes | pfp is Chomsky Honks by @xavieronsolami and banner by @miladymaker
Eli,@elkelk,https://x.com/elkelk,2351,0.51,,,,Coastal California,"World renowned angel investor, expert, entrepreneur, founder, leader, VC, investor"
Backers Stage Capital | Token2049 🇸🇬,@backersstage,https://x.com/BackersStage,760,0.51,,,http://www.backersstage.com,Global,Helping early-stage startups connect w/- investors & unstoppable outcomes. Founder X VC Summit: AI Capital Edition - 6/9th Oct 2026 | Singapore 🇸🇬
Gaurav Singh,@gsinghviews,https://x.com/gsinghviews,240,0.50,,,https://www.gauravsingh.ai,Toronto 🇨🇦 ,@HarvardHBS MBA | Angel Investor in AI Infrastructure | Engineer turned operator and now investor! Substack - https://t.co/0takhGyUki
SICTIC,@sictic_ch,https://x.com/sictic_ch,2017,0.50,,,https://sictic.ch/,Switzerland,Connecting smart money investors to seed and early stage tech startups.
Evan Buhler 🎸,@evanbuhler,https://x.com/evanbuhler,1360,0.50,,,https://www.talokcapital.com/,"Boston, MA","Legal space cowboy. Investor in xAI, Neuralink, Billow AI + select early-stage startups @TalokCapital. Comfortable being very early to the party 🇺🇸🗽🕊️"
Mohamad Faraz,@farazmohamad,https://x.com/FarazMohamad,611,0.48,,,http://www.upsparks.vc,Bangalore ,"Co-founder @UpsparksCapital | Co-founder @SolutionsInfini (acq. by Kaleyra, NYSE:KLR) | Investing in bold founders at Pre Seed | Sharing views on star"
UK Investor Magazine,@ukinvestormag,https://x.com/UKInvestorMAG,12366,0.47,,,http://www.ukinvestormagazine.co.uk,United Kingdom,"Online financial magazine providing insight for discerning UK investors; #shares, #forex, #funds and #PE. Please read our disclaimer."
Mario Peshev,@no_fear_inc,https://x.com/no_fear_inc,22389,0.47,,,https://insider.growthshuttle.com/,EU and US,"Fractional Technical Value Creation Advisor.

Founder, @wpdevrix | 25x Investor | Author

Building execution systems for PE-backed mid-market companie"
IAN Group,@ianetwork,https://x.com/ianetwork,25879,0.47,,,http://iangroup.vc,India,"IAN Group is a platform to help high potential #entrepreneurs raise #funding from successful entrepreneurs, senior professionals and #investors."
Propel(x),@propel_x,https://x.com/propel_x,1618,0.47,,,https://www.propelx.com/,"San Francisco, CA","Enabling accredited investors to access alts like deeptech, VC/hedge funds & real estate with flexible checks. SF-based. #AltInvesting | https://t.co/"
Grishin Robotics,@grishinrobotics,https://x.com/GrishinRobotics,6282,0.44,,,http://www.grishinrobotics.com/,"Menlo Park, CA","Grishin Robotics is one of the leading venture firms to focus exclusively on hardware and robotics companies, investing out of its second $100M fund."
Lumida Wealth Management,@lumidawealth,https://x.com/LumidaWealth,7007,0.44,,,https://i.mtr.bio/lumidawealth,New York,"Lumida is your Wealth Architect.

We serve investors seeking a holistic approach to building and preserving wealth beyond traditional portfolios."
Brian O'Malley,@omal,https://x.com/omal,5337,0.44,,,,"San Francisco, CA","Founder @tactilevc. 20 year veteran investor across @accel, @batteryventures & @forerunnervc. Seeker of network effects & taquerias."
Cailen D'Sa,@cailen,https://x.com/cailen,2415,0.44,,,https://www.vibescaling.ai,United States,Founder & CEO at https://t.co/ZW8z1JCt2g | Early @Dropbox @FrontHQ @Box @RevenueCat | Investor @retool @productboard @theZipHQ
Nikunj Kothari,@nikunj,https://x.com/nikunj,36334,0.44,,,https://writing.nikunjk.com/,San Francisco,"partner @fpvventures - investing in seed/A. previous: early hire @meter, @opendoor, @atlassian & others. love @shimoleejhaveri + 👦👧"
Craig T. Hall,@craigthall,https://x.com/craigthall,970,0.43,,,,,"An entrepreneur, now mentor, and growth stage investor discusses venture capital, startups, entrepreneurism, emerging tech and barriers to success alo"
Thomas Wu 🇸🇬,@thomaswuvr,https://x.com/ThomasWuVR,4422,0.43,,,,Singapore | Malaysia,"Farm Owner 🇲🇾 | Angel investor | Ex @Meta |

Skipped CEO life for retirement in Malaysia: 4 wives, big farm.

🇺🇸 🇨🇦 🇬🇧 🇦🇺 🇺🇦 🇰🇷 🇯🇵 🇹🇼 🇸🇬"
The Offline Network,@offlineonair,https://x.com/OfflineOnAir,2153,0.42,,,https://www.theoffline.network/,,"India’s live tech + startup signal. For founders & operators moving fast | Live M/W/F, 4 PM IST | By @offline_members"
Sebastian A. Brunemeier 🏴 🌎 💊 🧬,@sebastian_gero,https://x.com/sebastian_gero,2942,0.41,,https://www.linkedin.com/in/sebastianlongbio/,https://www.linkedin.com/in/sebastianlongbio/,Puerto Rico USA,"Geroscientist + VC. Investing in longevity biotech (""LongBio"") and rejuvenation. d/acc Vitalist"
Eddie Ho,@eddie_ho2025,https://x.com/Eddie_Ho2025,7370,0.41,,https://www.linkedin.com/in/ho-mun-fei/,https://www.linkedin.com/in/ho-mun-fei/,Singapore,Entrepreneur | AI Innovator | Father | From COVID loss to AI-powered education solutions | Building @futurebabyio | Founder @FutureLearnerAI
YZi Labs,@yzilabs,https://x.com/yzilabs,750209,0.41,,,https://www.yzilabs.com/,Global,"YZi Labs invests in ventures at every stage, prioritizing those with solid fundamentals in Web3, AI, and biotech."
Micky with the Blicky,@mickyxblicky,https://x.com/mickyxblicky,377,0.40,,,https://mickycapital.com,"Compton, CA",VC Micky. Investing in early stage hustle. Founder of Micky Capital. Where killers get funded. 🔫💰
Gabriel Jarrosson,@gjarrosson,https://x.com/GJarrosson,8040,0.39,,,https://linktr.ee/gabrieljarrosson,,Founder & Managing Partner @LobsterCapVC 🦞 Investing in the top 2% of @YCombinator startups. Founder with 3 exits.
Investor from Nepal 🇳🇵,@nepali_investor,https://x.com/nepali_investor,2669,0.39,,,https://investorfromnepal.substack.com/,🇪🇺,"- Retired at 27 🤓
- $600k portfolio 💰
- 25+ startups invested 🤑

🎯
Short term: $1M
Long term: $10M

Talk to me about #dividends, #startups, #games, #a"
Konstantin Vinogradov,@vinogradovk,https://x.com/vinogradovk,1692,0.39,,,https://kvinogradov.com,London & SF,"VC investor in Open Source, AI and Infra Software. Chairman @osendowment. KF30 @KauffmanFellows. I am deeply interested in OSS, and I take it seriousl"
Raziel,@tryraziel,https://x.com/tryraziel,1718,0.39,,,http://raziel.co,Try it free 👉🏼,"Manage your investments in Startups, Real Estate, Crypto and more. We post startup news & latest funding rounds for private companies."
Atharv 🧋 | Token2049 🇸🇬,@theatharvshri,https://x.com/theatharvshri,1690,0.39,,,http://linktr.ee/theatharvshrivastava,,building things for founders as a founder at @BackersStage | AI x Web3 x Venture | (YT - 175K+ subs) TG' - theatharvshrivastava
GEOFF WOO,@geoffreywoo,https://x.com/geoffreywoo,28767,0.39,,,http://intro.co/geoffreywoo,Internet,founder/managing partner @AntiFund; founder @ketone (https://t.co/8hRyoTCyZV) https://t.co/MBAwrm3woR https://t.co/RCCgkMtaI2
Mose Cassaro,@mosecassaro,https://x.com/mosecassaro,798,0.39,,https://www.linkedin.com/in/mosecassaro,https://www.linkedin.com/in/mosecassaro,"New York, NY",founder & gp - https://t.co/mz25qh9syd | founder & director - https://t.co/DBZLRvw51c | program partner @gener8tor
Noel Webb,@noelwebb,https://x.com/noelwebb,680,0.38,,,https://noelwebb.substack.com/,"Toronto, ON",VC investing in AI/tech startups.  Founder of Karen AI (acq. by AMS) & CTrade. Advising early-stage teams. Seeking LPs & dealflow. Drummer @Skydiggers
Amari Fields,@amarifields_,https://x.com/amarifields_,2467,0.36,,,https://www.amarifieldsvisions.com,"San Francisco, CA",Founder & CEO @GraceOSLabs @WellbandsHealth | Venture Scout @LvlUpVC | @JoinFoundersHub
Rockman Law,@rockmanlaw,https://x.com/RockmanLaw,1195,0.36,,,,"London, England",Investor @MerantixCapital
Angeles Investors,@angelesinvestor,https://x.com/AngelesInvestor,2092,0.36,,,https://angelesinvestors.com/membership/,,"Our mission: To find, fund and grow the most promising Hispanic and Latinx ventures."
Leeor Mushin,@lmushin,https://x.com/lmushin,2798,0.36,,,http://www.formationvc.com,"New York, USA",GP @Formation_VC | 🇺🇸🇮🇱 | cofounder @projecteleven | low TAM
Jon Chu // Khosla Ventures,@jonchu,https://x.com/jonchu,10039,0.36,,,,"San Francisco, CA","Partner @ KV, 2x founder, OG @ PLTR, OPEN, Docker, ML @ Meta // Investor in Sakana, Databricks, Anthropic, Figma, Bun, Runlayer, Coframe++"
d3h3d 「🦑」,@d3h3d_,https://x.com/d3h3d_,8514,0.36,,,https://encrypt.xyz,"London, England","david | co-founder @ikadotxyz, @encrypt_xyz, @dWalletLabs | @SuperteamUK member | Bridgeless Capital Markets | Encrypted Capital Markets"
ProMint,@promint_x,https://x.com/ProMint_X,3810,0.36,,,https://polymarket.com/?r=prtotweet,$SMART,Founder of the invest-community ProMintClub - Top 1 Aster Trader
AlphaMaven Hedge Funds,@alphamavenhf,https://x.com/AlphaMavenHF,1026,0.36,,,https://alpha-maven.com/news/hedge-fund,"Westport, CT","Most visited #AlternativeInvestments website. Investment Listings, News, Research and Industry Intelligence #HedgeFunds #ManagedFutures #Crypto #PE #V"
audium capital partners,@audiumcp,https://x.com/audiumcp,1253,0.36,,,http://www.audiumcapitalpartners.de,"Reutlingen, Baden-Württemberg","M&A, Venture Capital, Private Equity, Corporate Finance, economic profiling #privateequity #venturecapital #mergersacquisition #economicprofiling"
BKR Capital,@bkrcapital,https://x.com/BKRCapital,434,0.35,,,https://www.bkrcapital.ca/,,"Founded in 2021, BKR Capital (formerly Black Innovation Capital) was built with the objective of investing in promising black founders in the technolo"
Vik,@sathvikbil,https://x.com/SathvikBil,168,0.35,,,http://careshift.vc,"Florida, USA",Healthcare x Applied AI VC | Building @careshiftvc | Podcast Host interviewing the best healthcare founders & investors
Tidianez,@tidianez,https://x.com/Tidianez,150,0.35,,,https://dx.doi.org/10.2139/ssrn.6471540,Monaco / Abidjan,"Founder of AnthroMetrics AI, building the measurement standard for machine labor. HEWU published on SSRN & Zenodo. First investor meeting booked."
Nihal Shetty,@shetty_nhl,https://x.com/Shetty_nhl,2020,0.34,,,https://substack.com/@shettynhl,"Bengaluru, India",Commodities trader → learning about startups @Rainmatterin | investments & finance | solve meaningful problems at scale | love for Namma Bengaluru & i
Dr Alexander D. Kalian,@alexanderkalian,https://x.com/AlexanderKalian,3224,0.34,,,,"London, England","AI/bio researcher, quant, and macro investor | Somewhat a tech contrarian | I like to talk about markets and geopolitics | Sceptic on AI hype"
AncaMM,@ancamariamarin,https://x.com/AncaMariaMarin,1020,0.33,,https://www.linkedin.com/in/anca-marin-6294921a6,https://www.linkedin.com/in/anca-marin-6294921a6,London 🇬🇧,"G20 Group | Market Making | I trade, and I like a good story. | Web3 | Fintech ~ Not financial advice ~"
Asif Ahmad Khan,@iamasifahmadk,https://x.com/iamasifahmadk,101,0.32,,,https://www.instagram.com/iamasifahmadkhan/,"Pune, India","Entrepreneur | Investor | Trader | Mentor | Business | Portfolio Manager
All tweets are only for educational purposes"
Aakash Harish,@0_aakash_0,https://x.com/0_Aakash_0,233,0.32,,,http://aakashharish.com,"Tempe, Arizona",Founder @ VCOS | Bringing Ideas to life @ B:Side Capital + Fund
s e v e n,@deseventral,https://x.com/deseventral,9098,0.31,,,https://nazare.io,Dropping in,GP @nazarevc · AI infrastructure · ex-@Pantera · Cambridge PhD · https://t.co/VnZhgoS3fE
JUST G,@tbg_just_g,https://x.com/TBG_JUST_G,20256,0.31,,,http://t.me/THEBLOCKCHAINGODS,"Metaverse, Blockchain ","manifesting https://t.co/qmceuTvktn
building with AI 
444 💜

DM or https://t.co/dS8kxyRbSd
PLAY RIOT! BY JUST G 🎶 https://t.co/TPPVvuQSgP"
Des Traynor,@destraynor,https://x.com/destraynor,46105,0.31,,,http://fin.ai,"Dublin City, Ireland","Co-founder of @intercom, creators of @fin_ai"
karlagod.eth || BizFi,@_karlagod,https://x.com/_karlagod,4028,0.31,,,https://karlagod.framer.website/,Nigeria,"Proudly🇳🇬⛪ - Rapper🎤, Business Dev in Blockchain, Founder @bitsaveprotocol #SaveFi, Leading @borderlessdev, @web3bmedia Helping you build & succeed in"
CrowdFundJunction (Crypto VC),@cfjcrypto,https://x.com/cfjcrypto,49610,0.31,,,http://www.crowdfundjunction.com,Singapore,"The ELITE Circle for Digital ASSETS,
Fractional Property & Startups Ventures"
DeFi Angel💜|| MatchChayn,@iamgloryrolland,https://x.com/iamgloryrolland,2464,0.31,,,https://linktr.ee/gloryrolland,Community ,Founder @MatchChayn 💜|| Ai Automation engineer ||CM ||BD @Victusglobal || member @SuperteamNG|| Space host 🎙️Dm for Collab.
ScienceRespecter,@inluvwscience,https://x.com/InLuvWScience,4819,0.31,,,http://hyacinthaudits.xyz,,"Respect Science. Building @HyacinthAudits, investing @BobaTeaCap. @Berachain Maxi. Hoosier Booster. Your local Pokemon expert (DM me to source you Pok"
Clausewitz Appreciator 🏛,@heseekswisdom,https://x.com/HeSeeksWisdom,327,0.31,,,,,Christ is King! | Angel Investor (DM For Consultation.) #Catholic #realpolitik
